product_id,brand,product_name,product_name_en,category,subcategory,is_rising,rising_rank,category_rank,brand_rank,source_1,source_product_id_1,url_1,source_2,source_product_id_2,url_2,source_3,source_product_id_3,url_3
P00017,에스네이처,아쿠아 스쿠알란 수분크림,Aqua Squalane Moisturizing Cream 60ml,스킨케어,크림,,,10,3,화해,45194,https://www.hwahae.co.kr/goods/p/45194,화해,1889139,https://www.hwahae.co.kr/products/p/1889139,올리브영글로벌,GA210610734,https://global.oliveyoung.com/product/detail?prdtNo=GA210610734
P00018,YBK,어성초 원스텝 포어 패드,,클렌징/필링,스크럽/필링 패드,,,,,화해,45218,https://www.hwahae.co.kr/goods/p/45218,,,,,,
P00019,파티온,노스카나인 스팟 패치,,마스크/팩,패치,,,,,화해,45674,https://www.hwahae.co.kr/goods/p/45674,,,,,,
P00020,토리든,다이브인 저분자 히알루론산 클렌징 폼,,클렌징/필링,클렌징 폼,,,19,,화해,46748,https://www.hwahae.co.kr/goods/p/46748,화해,2004213,https://www.hwahae.co.kr/products/p/2004213,,,
P00021,라비엘,아세로라 잡티 & 기미 케어 크림,,스킨케어,크림,,,,,화해,47013,https://www.hwahae.co.kr/goods/p/47013,,,,,,
P00022,에스네이처,수퍼 아쿠아겔 오아시스 앰플 마스크,,마스크/팩,시트마스크,,,,,화해,48019,https://www.hwahae.co.kr/goods/p/48019,,,,,,
P00023,에스트라,테라크네365 하이드로 액티브 토너,,스킨케어,스킨/토너,,,,,화해,50234,https://www.hwahae.co.kr/goods/p/50234,,,,,,
P00024,벨로즈,유기농 호호바 오일,,스킨케어,페이스오일,,,,,화해,51980,https://www.hwahae.co.kr/goods/p/51980,,,,,,
P00025,라운드랩,자작나무 수분 선스틱 [SPF50+/PA++++],,선케어,선스틱,,,,,화해,52862,https://www.hwahae.co.kr/goods/p/52862,,,,,,
P00026,라보에이치,두피강화 클리닉 탈모증상완화 샴푸,,헤어케어,샴푸,,,,,화해,52938,https://www.hwahae.co.kr/goods/p/52938,화해,2073723,https://www.hwahae.co.kr/products/p/2073723,,,
P00027,코스알엑스,약산성 나이아신아마이드 미셀라 클렌징 워터,,클렌징/필링,클렌징 워터,,,,,화해,52951,https://www.hwahae.co.kr/goods/p/52951,,,,,,
