product_id,brand_ko,brand_en,product_name_ko,product_name_en,category,subcategory,has_hwahae_source,has_any_source,has_skin_type_signal,has_concern_signal,has_texture,has_age_signal,has_ranking,has_award,has_oliveyoung_global_offer,recommendation_review_candidate,commerce_review_candidate,missing_for_review
P00311,더레이디,,포어 타이트닝 핑크톡스 클레이 마스크,,팩,워시오프 팩,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00312,프롬메디,,아줄렌 시카 카밍 마스크,,마스크/팩,시트마스크,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00313,바이오지오,,지오리페어 울트라 퍼밍 크림,,스킨케어,크림,True,True,False,False,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|concern_signal|texture|oliveyoung_global_offer
P00314,리슬로우,,화이트 로터스 피디알엔 스프레이 세럼,,스킨케어,미스트,True,True,False,False,True,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|concern_signal|oliveyoung_global_offer
P00315,따띠온,,수분 레시피 저분자 히알루론산 세럼,,스킨케어,에센스/앰플/세럼,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00316,에텔랑,,센텔라 물 쿠션 [SPF50+/PA+++],,베이스메이크업,쿠션,True,True,False,False,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|concern_signal|texture|oliveyoung_global_offer
P00317,바이오코어,BioCore,피부면역 유산균 캡슐,,위장 건강,,True,True,False,True,False,False,False,True,False,False,False,product_name_en|subcategory|skin_type_signal|texture|oliveyoung_global_offer
P00318,포썸머,For Summer,오션프루프 선크림 02 선 블러쉬드 [SPF50+/PA++++],,선케어,선크림/로션,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00319,라브리에,,인리치드 크림,,젤,,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|subcategory|skin_type_signal|texture|oliveyoung_global_offer
P00320,레스케미,,갈락토미세스 더마로션,,에멀젼,,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|subcategory|skin_type_signal|texture|oliveyoung_global_offer
P00321,마미케어,,바다포도 젤리미스트,,스킨케어,미스트,True,True,False,False,True,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|concern_signal|oliveyoung_global_offer
P00322,마미케어,,바다포도 스킨팩,,마스크/팩,부분마스크/팩,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00323,ICD,,래디언솜™100 마이크로플루다이저 크림,,스킨케어,크림,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00324,러베,,5중 세라마이드 로션,,스킨케어,로션/에멀젼,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00325,올록담,,올리브3,,이너뷰티,피부 건강,True,True,False,False,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|concern_signal|texture|oliveyoung_global_offer
P00326,포헤르츠,,히알라겐 버블 세럼,,스킨케어,에센스/앰플/세럼,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00327,퓨로피엘,,마이크로핏 액티브 진정 패치,,팩,패치,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00328,퓨로피엘,,마이크로핏 액티브 톤업패치,,마스크/팩,부분마스크/팩,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00329,퓨로피엘,,마이크로핏 액티브 끌올패치,,마스크/팩,부분마스크/팩,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00330,시카젠,,프레시 시카 90% 앰플,,스킨케어,에센스/앰플/세럼,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00331,바이오더마,Bioderma,포토덤 엑스디펜스 울트라 플루이드 [SPF50+/PA++++],,선케어,선크림/로션,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
